 , ,#, ,#, ,#, ,#, ,#, , ,.,., , , ,#,#,#,#,#
#, , , , , , , , , ,#, ,#,.,.,#,#, ,#, ,#,#, 
 , ,#,#, ,#, ,#,#, , , ,#,.,.,#, , , , , , , 
#, ,#, , , , , ,#, ,#, , ,.,., , ,#, ,#, ,#,#
 , , , ,#, ,#, , , , , ,#,.,.,#, , , , , , , 
 ,#,#, ,#, ,#,#, ,#, ,#,#,.,., , ,#,#, ,#,#, 
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, ,#, , , , , 
.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , ,#,#, ,#
#, ,#,#, ,#, ,#,#, ,#, ,#,.,.,#, ,#, , , , , 
 , , ,#, , , ,#, , , , , ,.,., , , , ,#, ,#, 
 ,#, , , ,e, , , ,#,#, ,#,.,.,#,#, ,#,#, ,#, 
 ,#, ,#, , , ,f, ,#,#, , ,.,.,.,.,.,.,.,.,.,.
 , , , , ,#, , , , , , ,#,.,.,.,.,.,.,.,.,.,.
#, ,d, ,#,#,#, ,#,#, ,#,#,.,.,#,#, ,#, ,x, ,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,#, , , , 
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#, ,#,#, ,w, 
#, ,b, ,#, ,#, ,#,.,.,#, ,#, , , , , , , , , 
 , , , , , , , ,#,.,.,#, , , ,s, ,t, ,u, ,v, 
 ,a, ,c, ,#,#, , ,.,., , ,#, , , , , , , , , 
 , , , , , ,#, ,#,.,.,#, ,#,#, ,#, ,#, ,#, ,#
#, ,#, ,#, , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.
#, ,#, ,#,#, ,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#, ,#, ,#, ,#,#, ,#,#, 
.,.,.,.,.,.,.,.,.,.,.,#, , , , , , ,#, , , , 
 ,#,#, ,#,#, ,#,#,.,., , ,#,#, ,n, , , ,q, ,#
 , ,#, , , , , , ,.,.,#, , ,#, , , ,#, , , , 
#, , , ,i, ,j, ,#,.,.,#,#, , , ,#, ,#,#, ,#, 
#, ,h, , , , , ,#,.,., , , ,#, , , , , , ,#, 
 , , , ,#, ,k, , ,.,.,#, ,#,#, ,o, ,#,#, , , 
 ,g, ,#,#, , , ,l,.,.,#, , , , , , , , , ,r, 
 , , , , , ,#, , ,.,., , ,m, ,#, ,p, ,#, , , 
 ,#,#, ,#, ,#, ,#,.,.,#, , , ,#, , , ,#, ,#, 
